epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
89,110060,1.04383,0.62483,0.87291,0.61301,0.4711,0.49187,0.32631,1.0957,0.64489,0.87527,0.001288,0.001288,0.001288
90,111297,1.04001,0.62129,0.87193,0.61338,0.47004,0.49119,0.32565,1.09595,0.64527,0.87534,0.001189,0.001189,0.001189
91,112523,1.08083,0.62583,0.87301,0.61208,0.4692,0.49068,0.32531,1.09618,0.64549,0.87539,0.00109,0.00109,0.00109
92,113744,1.07554,0.61817,0.87212,0.61514,0.46549,0.4904,0.32534,1.09657,0.64598,0.87551,0.000991,0.000991,0.000991
93,114964,1.07186,0.61324,0.8717,0.6095,0.46852,0.48999,0.32496,1.09689,0.64668,0.87567,0.000892,0.000892,0.000892
94,116189,1.06773,0.60733,0.86994,0.61138,0.47187,0.48918,0.32466,1.09718,0.64743,0.87588,0.000793,0.000793,0.000793
95,117415,1.06487,0.60184,0.86881,0.61112,0.46918,0.4886,0.32464,1.09769,0.6482,0.87601,0.000694,0.000694,0.000694
96,118645,1.0596,0.59585,0.86649,0.61432,0.46734,0.48797,0.3241,1.09837,0.6494,0.87603,0.000595,0.000595,0.000595
97,119873,1.05622,0.59103,0.86575,0.61656,0.46778,0.48672,0.32287,1.09901,0.65048,0.87611,0.000496,0.000496,0.000496
98,121099,1.05206,0.5856,0.86439,0.62005,0.46555,0.48599,0.32236,1.0999,0.65178,0.87619,0.000397,0.000397,0.000397
99,122327,1.0494,0.58138,0.86436,0.62225,0.46224,0.48469,0.32133,1.10063,0.65302,0.87632,0.000298,0.000298,0.000298
100,123553,1.04636,0.57551,0.86405,0.62365,0.46355,0.48352,0.3198,1.10162,0.65449,0.87653,0.000199,0.000199,0.000199
